account_id,cardholder_id,product_id,open_date,credit_limit
68,68,4,07/14/2025,13800
69,69,4,2021-03-15,"$16,200.00"
70,70,3,2019-10-30,38200
71,71,3,2024-08-15,"$24,500.00"
72,72,4,2018-09-13,"$20,100.00"
73,73,2,2024-04-03,28300
74,74,1,05/08/2020,"$1,500.00"
75,75,3,Jul 12 2019,15700.00
76,76,3,01/16/2025,"$9,500.00"
77,77,3,2022-02-08,"$50,000.00"
78,78,4,10/08/2021,19400.00
79,79,4,08/15/2019,33400.00
80,80,3,2023-07-08,11500
81,81,4,2020-04-14,"$31,300.00"
82,82,2,2021-05-28,10800.00
83,83,3,2018-09-14,"$30,200.00"
84,84,3,Nov 21 2025,22000
85,85,4,2021-10-24,"$22,000.00"
86,86,4,04/13/2025,50000.00
87,87,2,12/15/2018,11700
88,88,2,05/01/2022,"$11,700.00"
89,89,4,May 02 2019,23200
90,90,1,Jul 16 2020,1500.00
91,91,3,Jun 11 2025,"$9,500.00"
92,92,2,2024-09-14,22800
93,93,3,01/25/2019,"$47,500.00"
94,94,3,Jul 05 2025,10500.00
95,95,4,2018-07-29,50000.00
96,96,3,05/02/2019,18200.00
97,97,4,12/29/2021,27500
98,98,4,2022-05-14,29500
99,99,3,2020-07-07,17100
100,100,3,Apr 14 2022,50000.00
101,101,3,06/19/2024,6500
102,102,1,2022-08-03,1500
103,103,3,2019-05-22,23600
104,104,3,09/25/2023,37700
105,105,3,2021-04-18,18900
106,106,4,Aug 14 2019,22400
107,107,3,Apr 09 2023,48400
108,108,1,2020-09-25,1500
109,109,3,07/22/2022,"$31,800.00"
110,110,4,2021-04-06,"$36,200.00"
111,111,1,Jan 12 2022,1500
112,112,4,2023-12-09,"$17,900.00"
113,113,4,2025-04-15,20600
114,114,4,10/15/2019,24900
115,115,3,2020-03-23,50000
116,116,4,04/19/2020,15800
117,117,4,2025-04-03,"$24,100.00"
118,118,1,2024-09-17,"$1,500.00"
119,119,2,07/19/2018,"$11,400.00"
120,120,2,2019-05-12,16500.00
121,121,3,2023-08-29,"$19,800.00"
122,122,3,06/09/2023,23200.00
123,123,3,May 04 2025,"$23,600.00"
124,124,3,06/12/2024,33100.00
125,125,3,Jul 14 2020,18400.00
126,126,4,07/22/2023,"$50,000.00"
127,127,4,2024-11-21,"$24,700.00"
128,128,4,2020-03-02,"$44,700.00"
129,129,3,2022-08-21,"$24,500.00"
130,130,4,11/15/2021,"$31,600.00"
131,131,3,01/27/2022,"$50,000.00"
132,132,4,2019-03-09,19400
133,133,2,Jun 13 2022,16300
134,134,3,2025-04-06,17800
135,135,4,01/07/2023,"$21,600.00"
136,136,3,11/03/2021,"$8,100.00"
137,137,3,2022-03-20,9600
138,138,2,2022-07-21,18800
139,139,4,Nov 09 2021,37200
140,140,3,2024-01-01,21400
141,141,3,2019-11-14,15500
142,142,2,Apr 12 2021,6100.00
143,143,3,2019-08-01,33900
144,144,2,2018-11-03,7300.00
145,145,3,05/18/2025,39500.00
146,146,3,01/08/2023,23300.00
147,147,2,2019-01-06,20400
148,148,3,Aug 12 2025,"$15,200.00"
149,149,4,2019-03-07,50000.00
150,150,4,2022-01-14,9800
151,151,4,Aug 03 2023,"$41,700.00"
152,152,1,2023-01-06,1500
153,153,3,Sep 25 2021,14800
154,154,2,09/28/2018,"$19,600.00"
155,155,4,2021-10-02,"$50,000.00"
156,156,4,2020-06-20,37100.00
157,157,4,Sep 07 2025,"$14,300.00"
158,158,3,2019-03-28,10900.00
159,159,3,Aug 20 2024,"$16,600.00"
160,160,4,2023-12-03,"$25,000.00"
161,161,4,2022-05-23,50000
162,162,2,10/18/2020,"$30,500.00"
163,163,3,09/12/2020,"$50,000.00"
164,164,4,2022-12-29,"$14,200.00"
165,165,2,Oct 28 2023,"$29,600.00"
166,166,3,12/17/2023,17900
167,167,2,03/02/2020,14700.00
168,168,4,2019-05-31,"$50,000.00"
169,169,1,2020-12-06,1500
170,170,4,02/26/2020,"$39,700.00"
171,171,4,2019-04-03,45400.00
172,172,2,May 02 2021,16600
173,173,4,Mar 02 2021,27300.00
174,174,3,Dec 16 2023,41300.00
175,175,2,Aug 09 2019,"$13,200.00"
176,176,4,May 28 2022,40500
177,177,1,2019-10-19,1500
178,178,3,2020-01-23,"$35,500.00"
179,179,3,03/03/2025,32300.00
180,180,4,Aug 30 2021,12900.00
181,181,4,2019-05-03,"$20,800.00"
182,182,4,2020-11-16,"$20,900.00"
183,183,2,2025-03-09,15300.00
184,184,4,2021-09-03,"$21,000.00"
185,185,4,2020-01-24,28600
186,186,3,10/26/2025,"$13,300.00"
187,187,4,2022-08-10,"$10,900.00"
188,188,4,2021-02-16,35700
189,189,3,2023-09-20,25600.00
190,190,3,Mar 20 2022,"$22,900.00"
191,191,3,2021-05-03,"$18,300.00"
192,192,4,06/29/2024,50000.00
193,193,4,11/13/2018,39000.00
194,194,3,2024-12-21,30800
195,195,3,2018-10-04,33900
196,196,3,Mar 14 2023,"$10,600.00"
197,197,1,03/09/2025,1500.00
198,198,4,2021-09-15,33200
199,199,4,12/12/2023,"$50,000.00"
200,200,4,02/23/2022,46400.00
201,201,2,11/22/2023,17900.00
202,202,3,12/05/2023,15400
203,203,4,2023-10-12,25800
204,204,1,2022-07-29,1500
205,205,3,2025-08-14,"$25,000.00"
206,206,2,2022-03-10,8800
207,207,4,2021-01-25,"$21,200.00"
208,208,4,Sep 10 2024,"$10,300.00"
209,209,4,Mar 22 2023,"$50,000.00"
210,210,2,Sep 20 2021,"$15,400.00"
211,211,4,Apr 06 2022,"$19,200.00"
212,212,2,2018-09-10,6500
213,213,3,2024-01-26,15100.00
214,214,4,2024-05-29,37200
215,215,1,Jun 07 2020,1500
216,216,4,Jun 16 2023,11800
217,217,2,03/01/2021,6100
218,218,4,09/08/2021,37300
219,219,1,2021-12-08,1500
220,220,4,02/16/2022,"$50,000.00"
221,221,2,Jun 17 2018,"$39,600.00"
222,222,3,Jul 11 2018,50000
223,223,2,09/13/2019,50000
224,224,3,06/20/2018,25200
225,225,4,Dec 03 2018,21600
226,226,3,Aug 05 2023,33600
227,227,2,2020-10-31,18900.00
228,228,3,Aug 21 2021,20100.00
229,229,2,04/17/2025,"$14,700.00"
230,230,3,2021-05-31,28400
231,231,3,03/28/2022,11900
232,232,3,2023-10-30,"$8,400.00"
233,233,3,May 12 2024,25800.00
234,234,2,01/21/2023,9000
235,235,3,2021-12-31,19100
236,236,3,2019-04-21,24200
237,237,3,Jun 29 2024,"$36,500.00"
238,238,3,Aug 15 2021,"$18,000.00"
239,239,3,2023-05-18,"$11,000.00"
240,240,4,2023-11-13,"$50,000.00"
241,241,3,2021-04-19,"$28,500.00"
242,242,3,07/07/2022,"$15,800.00"
243,243,3,2025-04-06,8000
244,244,3,2023-04-13,"$20,200.00"
245,245,2,10/01/2022,9000
246,246,2,Mar 27 2024,"$21,200.00"
247,247,2,03/03/2024,15300
248,248,2,2025-05-31,"$5,900.00"
249,249,4,2019-03-12,19500.00
250,250,2,2021-05-27,13300.00
251,251,4,2022-01-31,"$27,100.00"
252,252,1,01/14/2025,1500
253,253,4,May 15 2022,"$14,900.00"
254,254,4,2020-01-16,17400
255,255,2,01/09/2024,"$15,000.00"
256,256,1,06/17/2023,"$1,500.00"
257,257,2,2019-10-16,"$36,300.00"
258,258,3,01/30/2020,30200
259,259,3,Jun 06 2018,"$33,800.00"
260,260,2,2021-11-03,"$26,100.00"
261,261,3,2022-08-21,5300
262,262,4,2025-07-24,50000
263,263,2,2020-04-27,3200
264,264,3,Mar 25 2023,42200.00
265,265,4,2025-09-10,"$50,000.00"
266,266,3,07/02/2021,"$23,400.00"
267,267,3,Sep 16 2018,25300.00
268,268,3,03/04/2022,25400.00
269,269,3,May 24 2022,39200
270,270,4,03/22/2021,"$50,000.00"
271,271,3,2025-09-24,"$6,200.00"
272,272,2,2025-06-14,11800.00
273,273,2,2021-06-19,"$16,300.00"
274,274,1,2023-12-26,1500
275,275,3,2025-10-13,15000
276,276,4,Jan 04 2025,"$21,500.00"
277,277,2,02/15/2020,"$15,300.00"
278,278,4,2021-10-29,"$48,800.00"
279,279,4,Aug 19 2021,20900
280,280,3,2020-07-15,50000.00
281,281,3,Jun 04 2024,"$30,900.00"
282,282,4,2020-08-23,10700
283,283,2,2021-01-18,8600.00
284,284,2,Jan 21 2025,"$19,700.00"
285,285,4,Dec 05 2021,50000.00
286,286,2,10/19/2021,"$27,600.00"
287,287,3,2018-07-12,12000
288,288,2,2021-10-24,4300
289,289,4,11/13/2019,25400.00
290,290,2,2021-05-09,"$8,600.00"
291,291,3,2022-06-26,20800.00
292,292,2,2022-05-01,15100
293,293,4,2020-03-06,50000.00
294,294,4,2020-01-12,37900.00
295,295,4,2023-06-14,28800
296,296,3,2023-07-01,6400
297,297,3,05/26/2025,10400
298,298,4,Dec 12 2023,"$16,300.00"
299,299,3,07/28/2023,20900
300,300,3,2023-11-04,18900
301,301,2,2021-04-26,17900
302,302,4,2020-05-05,50000
303,303,2,11/19/2022,"$6,400.00"
304,304,2,May 24 2022,"$14,500.00"
305,305,1,2023-02-15,"$1,500.00"
306,306,2,05/27/2024,"$27,300.00"
307,307,3,Sep 27 2020,36300.00
308,308,3,2020-06-24,"$23,400.00"
309,309,1,Jun 29 2022,1500.00
310,310,2,2018-07-04,34800.00
311,311,4,2023-01-09,12800
312,312,3,2025-04-26,"$15,200.00"
313,313,3,05/28/2021,27100
314,314,4,06/18/2019,16100.00
315,315,3,04/16/2022,"$24,100.00"
316,316,3,11/16/2021,28300
317,317,4,2020-05-14,"$50,000.00"
318,318,4,2023-08-02,"$50,000.00"
319,319,3,09/24/2021,50000.00
320,320,3,2024-11-08,23700
321,321,3,2024-09-12,22800
322,322,4,2018-12-07,15900
323,323,2,Feb 08 2020,21000.00
324,324,4,Aug 01 2022,"$14,600.00"
325,325,4,11/09/2022,50000
326,326,2,Feb 14 2019,28300
327,327,3,12/05/2018,8300
328,328,4,03/23/2022,35400
329,329,2,11/10/2024,5000
330,330,3,Jul 13 2024,12200
331,331,3,Mar 30 2019,"$40,400.00"
332,332,3,2025-07-16,"$41,100.00"
333,333,3,07/23/2023,"$8,100.00"
334,334,4,2021-04-25,"$50,000.00"
335,335,4,Oct 24 2022,"$15,400.00"
336,336,2,2021-07-25,2900
337,337,4,12/18/2021,"$32,700.00"
338,338,2,08/07/2023,11600.00
339,339,2,06/05/2021,"$12,800.00"
340,340,2,2021-07-31,16100.00
341,341,4,Sep 23 2020,"$17,000.00"
342,342,2,Nov 21 2023,20600
343,343,3,2024-09-16,17600
344,344,3,Apr 22 2019,"$33,700.00"
345,345,3,06/11/2024,7200.00
346,346,4,Sep 14 2021,50000
347,347,3,07/30/2021,20700
348,348,4,2018-12-04,50000
349,349,3,2024-12-21,"$12,000.00"
350,350,3,01/21/2021,"$22,800.00"
351,351,4,2024-08-29,"$15,100.00"
352,352,2,2018-10-01,5800.00
353,353,3,Sep 27 2022,"$22,800.00"
354,354,4,2019-01-03,50000.00
355,355,3,2022-05-27,17200
356,356,3,Nov 24 2023,43500
357,357,4,2025-03-18,16400
358,358,2,Aug 24 2023,12500
359,359,3,2020-05-08,11800.00
360,360,3,10/18/2025,"$30,000.00"
361,361,4,10/01/2020,25600.00
362,362,3,Jan 26 2019,17000
363,363,3,07/13/2022,14800
364,364,4,06/05/2020,50000
365,365,3,2018-10-06,14700
366,366,2,2019-10-28,12900.00
367,367,3,12/12/2018,10900
368,368,4,04/09/2024,"$50,000.00"
369,369,4,2023-02-20,17200
370,370,3,Nov 26 2023,31300
371,371,3,12/08/2023,15300
372,372,4,2025-05-26,"$33,100.00"
373,373,3,07/26/2024,"$27,700.00"
374,374,4,2025-02-21,17900
375,375,4,2024-08-25,26500
376,376,3,03/30/2022,16500
377,377,4,2020-03-14,14700
378,378,3,May 23 2025,46100
379,379,3,2023-09-10,15300
380,380,2,2024-05-26,"$6,800.00"
381,381,2,2019-05-24,5600
382,382,3,09/07/2025,7800
383,383,4,12/01/2025,50000
384,384,3,Sep 30 2023,"$50,000.00"
385,385,3,2020-10-28,4000.00
386,386,2,Aug 02 2018,12500.00
387,387,2,2022-07-03,18500
388,388,3,07/23/2020,50000
389,389,2,2021-03-14,18000
390,390,4,04/19/2020,"$19,700.00"
391,391,3,09/12/2020,17200.00
392,392,4,2021-10-30,"$50,000.00"
393,393,4,2024-10-03,28900
394,394,3,07/06/2020,17600
395,395,3,2019-01-08,13600
396,396,4,2023-08-05,"$19,700.00"
397,397,2,2025-08-09,"$30,200.00"
398,398,2,03/07/2021,13900
399,399,4,May 26 2023,"$7,300.00"
400,400,2,2020-06-17,16700.00
401,401,4,2021-11-18,21000
402,402,1,06/25/2018,1500
403,403,3,2022-08-31,16300
404,404,3,10/14/2024,19000.00
405,405,4,2022-04-27,"$28,400.00"
406,406,2,01/13/2023,32600.00
407,407,3,Mar 29 2021,"$41,000.00"
408,408,4,10/04/2023,"$26,500.00"
409,409,1,2019-05-28,1500
410,410,2,Nov 03 2018,10500
411,411,3,2024-01-13,29100.00
412,412,3,08/22/2018,50000
413,413,4,08/14/2020,14200
414,414,4,2023-08-10,"$9,200.00"
415,415,3,Jun 03 2025,31100
416,416,3,2023-08-10,31900
417,417,2,10/13/2022,26100
418,418,2,Dec 29 2022,"$12,400.00"
419,419,4,08/07/2025,"$15,200.00"
420,420,3,2021-07-22,"$10,700.00"
421,421,2,07/10/2023,32300
422,422,4,02/07/2019,"$50,000.00"
423,423,3,2022-03-09,"$35,200.00"
424,424,4,Apr 02 2024,"$24,400.00"
425,425,3,2018-06-10,15500
426,426,4,2023-05-18,10400
427,427,3,2025-04-13,"$13,200.00"
428,428,4,2019-02-05,"$35,200.00"
429,429,3,2019-07-31,27500
430,430,3,07/08/2025,8100
431,431,4,03/31/2025,50000.00
432,432,4,2019-10-04,"$30,500.00"
433,433,4,2023-11-09,48900.00
434,434,3,2018-11-19,4300
435,435,1,08/07/2018,"$1,500.00"
436,436,2,2022-05-27,36900
437,437,2,Aug 14 2025,"$8,500.00"
438,438,3,2025-02-13,6300
439,439,3,2019-10-22,16700.00
440,440,3,Jun 11 2024,31000
441,441,4,2025-04-30,"$50,000.00"
442,442,3,11/09/2025,19300.00
443,443,4,04/29/2023,"$12,900.00"
444,444,2,Aug 28 2024,"$31,000.00"
445,445,4,04/29/2022,50000
446,446,1,02/06/2022,1500
447,447,4,2022-01-05,"$41,300.00"
448,448,3,01/19/2025,"$27,000.00"
449,449,3,05/21/2023,17500
450,450,2,04/11/2025,29300
451,451,3,2021-02-10,"$14,100.00"
452,452,3,11/08/2023,"$30,200.00"
453,453,3,2025-03-13,"$13,200.00"
454,454,3,07/08/2021,7400
455,455,2,2020-11-27,17200.00
456,456,4,2023-06-11,32200
457,457,3,2020-06-24,11200
458,458,2,Sep 02 2022,15000
459,459,4,04/11/2020,"$46,500.00"
460,460,2,2018-12-09,30500
461,461,3,Aug 25 2022,16100
462,462,4,2022-11-02,"$37,900.00"
463,463,4,2022-09-21,35200
464,464,4,01/30/2021,40800
465,465,3,Sep 17 2020,24000
466,466,3,01/14/2022,7800.00
467,467,2,2019-10-05,30200
468,468,4,Feb 05 2023,"$30,600.00"
469,469,4,10/16/2020,"$32,400.00"
470,470,3,2024-07-21,9000
471,471,4,2025-07-05,50000
472,472,3,2018-10-02,23200
473,473,2,04/24/2022,"$6,600.00"
474,474,2,12/04/2021,17900
475,475,4,2019-02-02,19400.00
476,476,4,Jan 17 2024,"$19,700.00"
477,477,3,Apr 21 2020,"$26,000.00"
478,478,1,Jul 01 2019,"$1,500.00"
479,479,3,10/31/2025,20900.00
480,480,1,2019-09-03,"$1,500.00"
481,481,1,2023-09-29,1500
482,482,4,2020-06-14,"$22,900.00"
483,483,3,2020-05-23,"$17,700.00"
484,484,3,2019-09-08,25800
485,485,2,2021-12-23,4100
486,486,2,11/04/2025,"$15,200.00"
487,487,2,Nov 30 2018,"$50,000.00"
488,488,4,2025-11-23,27400.00
489,489,2,Aug 25 2018,"$22,600.00"
490,490,3,10/31/2025,39700
491,491,3,Aug 14 2021,"$15,200.00"
492,492,1,2019-09-12,1500
493,493,4,02/05/2019,"$24,300.00"
494,494,4,2023-01-12,50000
495,495,2,10/27/2024,"$6,400.00"
496,496,4,03/05/2023,"$21,500.00"
497,497,3,07/24/2025,"$15,900.00"
498,498,4,2018-09-11,"$40,300.00"
499,499,2,Oct 27 2022,"$24,900.00"
500,500,4,2023-05-16,50000.00
501,501,1,01/23/2025,"$1,500.00"
502,502,3,2019-09-13,"$27,000.00"
503,503,4,04/06/2023,19000
504,504,3,2025-02-09,16400.00
505,505,4,Aug 27 2022,50000
506,506,1,2022-06-10,"$1,500.00"
507,507,3,2019-01-31,22000
508,508,3,2021-09-10,31300
509,509,4,05/16/2025,50000.00
510,510,3,2025-04-19,39700
511,511,4,Nov 22 2022,48300
512,512,4,2019-06-18,49600
513,513,2,2023-07-08,18400
514,514,2,Jul 05 2024,23100
515,515,2,2020-09-15,50000
516,516,2,08/11/2023,"$10,400.00"
517,517,3,05/20/2021,14500
518,518,1,Sep 05 2024,1500.00
519,519,4,Mar 26 2024,36200
520,520,2,2022-04-04,"$17,400.00"
521,521,4,Mar 11 2024,"$28,700.00"
522,522,3,2024-06-17,"$12,200.00"
523,523,3,2024-09-20,20700
524,524,1,2019-05-28,1500
525,525,3,2023-03-06,"$9,300.00"
526,526,4,2019-06-02,21000.00
527,527,3,2024-07-28,"$14,900.00"
528,528,4,Mar 22 2024,27300
529,529,4,11/10/2019,17300
530,530,3,2025-05-08,19200
531,531,4,2019-09-20,"$32,900.00"
532,532,3,2018-08-16,36300
533,533,4,01/17/2019,17000.00
534,534,2,2020-01-21,"$8,100.00"
535,535,1,Jan 26 2022,"$1,500.00"
536,536,1,2019-08-10,"$1,500.00"
537,537,4,Jun 13 2024,"$42,300.00"
538,538,3,06/20/2021,30500.00
539,539,2,Oct 16 2021,11700.00
540,540,2,2023-12-09,"$17,200.00"
541,541,4,12/10/2024,11300.00
542,542,4,2021-08-28,35700
543,543,3,08/16/2022,"$29,100.00"
544,544,3,11/16/2023,"$15,800.00"
545,545,4,2020-11-08,"$12,100.00"
546,546,4,Nov 21 2021,"$50,000.00"
547,547,2,Mar 15 2020,47300
548,548,4,Sep 17 2021,"$11,600.00"
549,549,2,2019-11-08,"$9,100.00"
550,550,2,2024-12-02,"$19,100.00"
551,551,4,01/13/2021,21400
552,552,3,2021-01-16,"$24,300.00"
553,553,4,2019-05-02,"$23,500.00"
554,554,2,Aug 06 2023,10500
555,555,4,2021-06-09,45400
556,556,2,2025-05-19,7100
557,557,3,2022-07-11,25600
558,558,3,02/03/2024,10700
559,559,4,Jul 09 2024,19000
560,560,2,2019-12-28,"$27,400.00"
561,561,3,Mar 04 2025,"$9,900.00"
562,562,4,2021-04-28,26900
563,563,3,2018-08-08,17100.00
564,564,3,09/17/2019,28200
565,565,4,Jul 15 2018,31000.00
566,566,4,Jan 31 2024,20600
567,567,3,Jul 11 2025,"$10,100.00"
568,568,2,2018-07-18,40300
569,569,1,07/03/2022,"$1,500.00"
570,570,4,2022-07-04,15600
571,571,3,11/29/2022,"$22,000.00"
572,572,2,2018-11-23,"$22,500.00"
573,573,3,2020-03-06,46900
574,574,2,2024-07-13,15500
575,575,2,2019-09-26,8800
576,576,4,Oct 02 2023,"$44,000.00"
577,577,2,May 25 2019,"$50,000.00"
578,578,3,01/29/2024,48400.00
579,579,3,08/12/2025,"$19,100.00"
580,580,4,11/01/2020,27900
581,581,2,2020-12-11,9800
582,582,4,08/26/2019,34900
583,583,2,2021-11-26,11000.00
584,584,2,07/09/2020,7700
585,585,3,2023-08-21,19900.00
586,586,1,2019-12-03,"$1,500.00"
587,587,1,2020-06-23,"$1,500.00"
588,588,3,03/18/2020,"$10,700.00"
589,589,3,Jun 02 2023,7100
590,590,4,2022-03-10,"$43,900.00"
591,591,3,2019-08-09,23000
592,592,4,2022-06-06,"$50,000.00"
593,593,4,03/26/2025,20700.00
594,594,1,08/26/2023,1500.00
595,595,3,2019-08-31,20300.00
596,596,3,Mar 28 2023,"$22,300.00"
597,597,3,2024-03-21,"$26,400.00"
598,598,3,07/09/2018,"$15,300.00"
599,599,3,2020-11-28,"$16,600.00"
600,600,3,10/16/2022,"$8,400.00"
601,601,3,Apr 01 2023,7900.00
602,602,4,2023-07-15,50000
603,603,3,2025-07-22,12200.00
604,604,3,03/17/2022,32100.00
605,605,1,2024-07-18,"$1,500.00"
606,606,4,06/24/2021,26000.00
607,607,2,Jan 16 2025,17100
608,608,3,2024-03-09,31900.00
609,609,3,11/14/2025,33300
610,610,4,2023-06-05,"$50,000.00"
611,611,4,2019-01-15,50000
612,612,3,09/06/2022,9300
613,613,2,Apr 14 2024,"$9,100.00"
614,614,4,2022-10-07,16400
615,615,4,04/19/2022,19300
616,616,3,2023-12-23,5200
617,617,3,Nov 26 2019,5800
618,618,3,2024-07-25,"$22,100.00"
619,619,4,Jul 11 2019,"$40,800.00"
620,620,3,11/04/2022,16700.00
621,621,3,2024-08-15,13600.00
622,622,4,Aug 02 2023,"$27,000.00"
623,623,3,2019-11-23,"$16,100.00"
624,624,4,03/27/2019,"$17,900.00"
625,625,3,11/15/2024,17800.00
626,626,2,2023-03-18,28800.00
627,627,3,2024-12-28,20500.00
628,628,4,2025-01-23,23200.00
629,629,3,2018-12-17,"$35,900.00"
630,630,2,2025-02-10,11100
631,631,4,2018-09-28,30600
632,632,2,2020-11-02,25800
633,633,3,01/12/2020,22400.00
634,634,3,2024-12-14,22400
635,635,1,2018-11-12,1500.00
636,636,3,2019-08-18,14100
637,637,4,08/06/2018,"$13,000.00"
638,638,2,2022-11-07,4600
639,639,4,Jun 12 2021,9700
640,640,4,2022-02-13,32600
641,641,2,May 04 2020,"$13,600.00"
642,642,4,2023-03-18,35100.00
643,643,4,02/23/2021,30800
644,644,4,Oct 06 2021,"$28,400.00"
645,645,3,2021-10-22,25900
646,646,4,2021-08-19,"$25,200.00"
647,647,4,04/20/2024,28300.00
648,648,4,Feb 16 2023,19700
649,649,4,08/09/2022,"$16,100.00"
650,650,3,Jun 25 2022,29500
651,651,3,03/26/2019,17000
652,652,2,11/18/2022,"$22,700.00"
653,653,4,Oct 23 2021,19900
654,654,3,2022-02-03,37800
655,655,3,2024-12-22,28500.00
656,656,2,2025-10-19,24500.00
657,657,4,2018-12-05,"$23,400.00"
658,658,4,May 08 2021,28100.00
659,659,3,2018-07-21,"$22,600.00"
660,660,3,11/30/2021,5100
661,661,2,2019-04-13,15200
662,662,2,01/17/2019,"$9,200.00"
663,663,2,2025-10-21,"$32,200.00"
664,664,2,2024-11-03,15400
665,665,3,2023-02-11,50000.00
666,666,4,2019-08-04,8100
667,667,3,2021-10-24,22900
668,668,3,Jun 09 2024,"$17,500.00"
669,669,1,2023-12-09,"$1,500.00"
670,670,4,2024-10-08,32300
671,671,2,2019-08-06,"$22,000.00"
672,672,3,Jan 20 2020,"$42,000.00"
673,673,3,2020-06-29,11300
674,674,4,2018-10-29,"$43,800.00"
675,675,3,05/09/2023,"$22,000.00"
676,676,3,06/03/2023,"$13,700.00"
677,677,3,May 04 2020,"$13,400.00"
678,678,3,10/08/2024,"$48,400.00"
679,679,4,Dec 25 2023,"$23,500.00"
680,680,3,2022-07-29,49300
681,681,4,2024-10-12,"$28,500.00"
682,682,1,09/26/2024,"$1,500.00"
683,683,4,10/16/2023,20900
684,684,2,Feb 27 2019,7100
685,685,4,2021-12-11,40800
686,686,1,Aug 04 2019,1500
687,687,2,Apr 10 2025,4300
688,688,2,2021-01-24,"$16,600.00"
689,689,2,2024-12-16,"$9,200.00"
690,690,2,2018-07-21,16700
691,691,3,Apr 01 2020,"$37,100.00"
692,692,4,03/26/2019,50000
693,693,3,2021-02-06,43200
694,694,3,2019-05-11,14300
695,695,4,2018-11-20,"$11,100.00"
696,696,3,Jan 31 2021,23200
697,697,2,Jul 08 2019,29100
698,698,2,04/23/2021,"$8,300.00"
699,699,4,Apr 20 2024,12300
700,700,3,01/30/2024,15600
701,701,4,06/23/2020,16700
702,702,4,2024-12-21,"$27,700.00"
703,703,2,2022-04-25,8500.00
704,704,2,2021-02-06,"$12,000.00"
705,705,3,2020-07-22,9100
706,706,3,2021-07-13,14400
707,707,4,2025-10-11,18900
708,708,2,2021-01-09,7200
709,709,4,2022-07-05,"$50,000.00"
710,710,3,11/04/2021,"$12,200.00"
711,711,3,Jan 27 2025,10100.00
712,712,3,Jan 11 2020,12300
713,713,4,2023-10-22,45600
714,714,3,2019-11-23,20800
715,715,2,01/18/2025,"$22,200.00"
716,716,2,2023-05-12,"$7,600.00"
717,717,2,Dec 17 2023,"$21,700.00"
718,718,1,2020-01-24,"$1,500.00"
719,719,3,12/23/2024,23600
720,720,3,11/28/2018,"$16,200.00"
721,721,4,Nov 09 2022,49200
722,722,3,2022-10-22,13400.00
723,723,4,03/01/2023,"$37,700.00"
724,724,3,2022-09-29,50000.00
725,725,3,2025-06-28,49800
726,726,4,04/13/2021,"$18,300.00"
727,727,4,Oct 05 2024,"$27,300.00"
728,728,3,2019-03-02,16400
729,729,2,2024-10-31,6600.00
730,730,4,03/01/2025,50000.00
