cardholder_id,age,annual_income,employment_status,region_id,fico_origination,credit_history_months
122,59,"$76,000.00",Employed,2,535,92
123,58,95200,Employed,4,567,380
124,47,"$50,700.00",retired,4,592,176
125,69,32500,UNEMPLOYED,1,548,382
126,53,"$106,200.00",employed,4,664,156
127,25,72400,Employed,4,647,24
128,64,"$75,100.00",,1,595,318
129,53,"$41,000.00",Student,2,560,96
130,57,88500.00,Self-Employed,2,616,313
131,53,140200.00,retired,4,580,297
132,52,"$52,700.00",Employed,3,578,266
133,26,52200,Employed,4,572,58
134,52,"$34,500.00",employed,3,565,181
135,66,"$42,500.00",Unemployed,1,610,231
136,38,"$32,500.00",student,2,512,125
137,55,59800.00,Employed,3,544,135
138,22,42200,Student,3,501,15
139,40,62800,Retired,4,642,115
140,45,36300,,1,547,209
141,77,56700.00,,3,525,358
142,33,"$33,600.00",Employed,4,471,135
143,36,56800,Employed,4,580,95
144,44,"$25,900.00",Employed,3,484,216
145,77,65400,Employed,3,557,480
146,69,52400,Unemployed,4,524,229
147,22,53400,EMPLOYED,2,509,9
148,34,,EMPLOYED,4,558,32
149,67,79100.00,SELF-EMPLOYED,3,587,459
150,24,"$43,400.00",Employed,3,582,44
151,69,65500,EMPLOYED,3,617,131
152,37,22600.00,Employed,1,393,96
153,73,"$34,400.00",Employed,1,530,260
154,37,"$44,000.00",Employed,1,517,144
155,45,"$100,600.00",Employed,2,635,177
156,58,72300.00,Employed,4,612,309
157,28,53500,SELF-EMPLOYED,4,594,80
158,52,36700,EMPLOYED,3,527,143
159,49,33500,Self-Employed,1,514,68
160,65,66300,Employed,2,602,164
161,77,83800,Employed,1,708,478
162,58,62600,Employed,3,552,371
163,44,116500.00,SELF-EMPLOYED,4,650,46
164,44,"$39,700.00",Retired,2,593,190
165,44,58500,Self-Employed,1,535,198
166,67,27500.00,Employed,1,562,169
167,39,"$58,100.00",Employed,1,514,83
168,30,"$98,700.00",EMPLOYED,3,681,77
169,40,33200,Unemployed,3,417,54
170,22,71900,SELF-EMPLOYED,3,602,35
171,27,"$96,200.00",employed,4,707,16
172,26,36700.00,Retired,1,471,24
173,64,"$71,900.00",Employed,1,635,385
174,62,117800,Employed,2,735,230
175,60,63700.00,Employed,3,475,393
176,47,77800,Self-Employed,2,603,58
177,61,25900,,3,453,282
178,30,"$66,600.00",EMPLOYED,1,561,87
179,72,75800.00,Self-Employed,4,527,143
180,49,30300.00,Employed,2,581,168
181,74,"$39,200.00",Employed,3,578,320
182,29,66500,Employed,4,583,80
183,49,48000.00,EMPLOYED,2,550,78
184,60,94700,Student,1,605,190
185,49,63300.00,Employed,1,630,176
186,46,55800,Retired,1,659,260
187,30,47200,Self-Employed,4,601,83
188,42,61100.00,STUDENT,4,657,229
189,34,74300.00,EMPLOYED,4,529,29
190,38,"$67,000.00",UNEMPLOYED,2,580,174
191,59,47300,Employed,3,518,336
192,56,"$98,800.00",Employed,1,664,68
193,55,"$75,700.00",Employed,3,687,268
194,41,63400.00,Self-Employed,4,561,170
195,75,63200,Employed,2,558,385
196,25,62400.00,Employed,4,549,25
197,40,,Student,4,386,116
198,27,56000,SELF-EMPLOYED,1,585,23
199,40,111100,Employed,4,611,199
200,75,"$67,000.00",Employed,1,633,425
201,41,"$55,400.00",student,1,502,208
202,72,"$45,900.00",Retired,4,578,180
203,49,68700.00,Student,4,599,178
204,60,52600,EMPLOYED,3,456,165
205,47,"$98,400.00",Employed,3,546,187
206,36,35400.00,RETIRED,1,483,120
207,64,"$47,600.00",Self-Employed,2,592,426
208,76,46500,Unemployed,3,582,275
209,36,"$119,200.00",Employed,4,703,150
210,65,"$53,700.00",,3,509,404
211,35,40600.00,Employed,4,597,92
212,61,22500,EMPLOYED,1,475,162
213,65,38800,student,1,571,235
214,46,69000,Retired,2,677,218
215,63,73500,EMPLOYED,2,512,326
216,36,"$39,000.00",Self-Employed,4,581,150
217,25,"$38,100.00",EMPLOYED,3,510,63
218,26,"$115,600.00",employed,1,729,50
219,46,183000,EMPLOYED,4,728,155
220,72,100700.00,Self-Employed,3,749,134
221,28,"$101,800.00",Employed,1,515,48
222,46,120700,Employed,4,554,143
223,61,156200.00,Employed,3,554,365
224,32,44800.00,Employed,1,561,126
225,62,"$39,000.00",EMPLOYED,3,666,275
226,38,"$120,200.00",Employed,4,588,179
227,67,"$38,200.00",Retired,3,494,146
228,54,35300,Self-Employed,3,525,247
229,52,"$35,400.00",Employed,2,491,191
230,31,"$48,200.00",Retired,4,536,67
231,47,22400.00,EMPLOYED,3,549,122
232,69,31200,Employed,2,559,400
233,22,37200.00,RETIRED,1,619,7
234,64,"$34,000.00",Employed,3,491,204
235,49,88800,EMPLOYED,3,639,100
236,62,58000.00,Employed,3,575,162
237,58,73900,Retired,4,538,75
238,45,"$66,900.00",Employed,4,605,189
239,38,48000.00,Employed,1,558,54
240,56,"$88,200.00",Retired,3,639,83
241,28,"$61,900.00",Employed,1,592,44
242,54,"$48,600.00",student,3,561,112
243,26,23500.00,,4,513,56
244,58,,,1,544,278
245,56,32100,Self-Employed,1,496,226
246,25,59100.00,employed,4,507,64
247,64,60400.00,employed,2,506,373
248,44,"$29,300.00",EMPLOYED,4,478,160
249,65,65700.00,employed,1,582,414
250,23,53900.00,Student,2,479,19
251,31,55800.00,Employed,3,618,69
252,49,"$58,800.00",Student,3,568,178
253,31,,Employed,2,609,38
254,39,69000,Self-Employed,2,589,179
255,58,41800,Retired,3,550,122
256,29,"$31,300.00",Employed,2,421,54
257,59,,Student,4,552,308
258,26,"$76,300.00",RETIRED,1,586,26
259,30,66900.00,Retired,4,571,49
260,54,51100,Employed,2,497,198
261,66,24500,Employed,3,558,429
262,30,"$99,200.00",,1,603,22
263,38,21800.00,Employed,3,440,51
264,73,78400,Employed,1,556,480
265,77,158000.00,Retired,1,656,254
266,54,60000.00,EMPLOYED,4,561,320
267,46,62000,Employed,1,550,127
268,40,"$63,000.00",UNEMPLOYED,4,530,95
269,55,"$61,600.00",Employed,3,570,244
270,54,161600,STUDENT,3,709,67
271,37,"$35,900.00",Retired,1,514,101
272,22,"$31,800.00",retired,4,502,10
273,29,43800,Employed,4,441,22
274,75,132800,Employed,4,500,150
275,44,"$41,600.00",Employed,2,555,123
276,48,"$66,500.00",Student,1,620,252
277,47,88400,Employed,4,540,140
278,65,"$83,100.00",EMPLOYED,3,621,314
279,24,78500.00,EMPLOYED,3,595,48
280,25,94300.00,Employed,4,693,40
281,36,"$60,000.00",Unemployed,2,558,109
282,48,44600.00,,1,585,189
283,59,"$61,100.00",Employed,2,502,104
284,48,47100,EMPLOYED,3,528,283
285,46,"$169,200.00",student,3,610,152
286,74,"$47,600.00",Self-Employed,3,556,106
287,30,63300.00,Employed,1,579,65
288,53,"$28,500.00",STUDENT,3,484,86
289,51,"$58,900.00",EMPLOYED,4,660,278
290,47,"$48,000.00",Student,1,473,89
291,67,79900,Employed,4,593,304
292,36,71600.00,Employed,4,608,63
293,75,"$114,800.00",Employed,3,667,180
294,39,96500,EMPLOYED,1,611,189
295,52,"$54,100.00",SELF-EMPLOYED,3,608,260
296,50,36100,SELF-EMPLOYED,2,517,85
297,69,40900,Employed,4,549,214
298,46,"$62,300.00",Employed,1,595,147
299,37,56300,Student,1,547,40
300,22,"$55,200.00",Employed,3,571,18
301,41,"$41,900.00",Self-Employed,2,495,199
302,68,113000,Retired,2,606,440
303,21,"$25,200.00",Employed,4,467,14
304,72,"$46,000.00",Self-Employed,2,517,480
305,51,34200,Unemployed,2,530,136
306,28,46000.00,Student,2,548,51
307,38,92300,Employed,3,561,151
308,52,"$48,900.00",Employed,1,551,289
309,38,"$55,100.00",EMPLOYED,2,488,48
310,27,"$67,800.00",EMPLOYED,1,503,31
311,58,49000,Employed,1,670,177
312,59,68000,Employed,4,541,202
313,27,56300,EMPLOYED,4,546,78
314,37,31500,Self-Employed,4,572,84
315,34,42000.00,,3,553,148
316,58,66900,Employed,4,545,95
317,62,103000,Employed,2,632,359
318,62,"$103,000.00",Employed,1,662,263
319,74,"$155,200.00",Student,4,583,391
320,64,72500,Employed,2,564,216
321,39,"$43,900.00",employed,2,526,68
322,27,48800.00,Employed,1,692,25
323,56,"$53,700.00",Retired,2,508,109
324,73,"$50,100.00",,2,593,412
325,76,,Employed,2,662,243
326,34,"$62,800.00",EMPLOYED,2,591,77
327,34,30500,Student,1,520,118
328,23,80600,Retired,3,676,20
329,29,"$22,200.00",Employed,4,428,91
330,52,,Employed,3,533,163
331,52,"$93,400.00",Employed,4,564,204
332,42,"$70,400.00",Employed,2,557,63
333,38,"$44,800.00",Student,2,545,43
334,68,143500,Employed,2,674,421
335,47,44800,EMPLOYED,3,619,147
336,67,23900,Employed,3,435,272
337,75,74400.00,Employed,4,614,110
338,39,23800,Employed,3,500,91
339,32,35300,Employed,2,464,111
340,75,"$80,300.00",Employed,4,517,410
341,57,46100.00,EMPLOYED,2,651,120
342,37,"$68,100.00",Student,1,623,63
343,56,33600,Student,4,553,259
344,50,"$81,300.00",SELF-EMPLOYED,3,576,159
345,72,28000.00,,2,540,114
346,35,94100.00,Employed,1,637,133
347,77,49300,Self-Employed,2,547,245
348,74,120400,Self-Employed,3,744,108
349,31,"$35,000.00",Employed,1,549,36
350,30,121100.00,Unemployed,2,549,82
351,51,36100.00,,4,572,127
352,23,22000.00,Employed,3,435,30
353,38,53700.00,Student,2,529,95
354,45,"$94,400.00",Self-Employed,3,696,150
355,76,"$86,900.00",Student,2,574,480
356,77,103100.00,UNEMPLOYED,4,572,169
357,29,"$73,000.00",employed,4,604,22
358,71,41300,employed,1,476,347
359,26,70700,Employed,4,531,24
360,63,"$60,600.00",Employed,4,629,249
361,69,"$43,100.00",Employed,3,582,109
362,71,"$64,800.00",Employed,4,536,480
363,33,50300,Unemployed,3,576,124
364,71,"$113,100.00",Employed,3,621,401
365,27,"$39,900.00",Employed,1,570,61
366,50,42900,Unemployed,2,505,191
367,47,"$39,900.00",Employed,4,525,262
368,39,124200,Employed,3,613,144
369,22,"$36,800.00",Employed,3,584,36
370,65,104900.00,Employed,1,635,265
371,40,33400,EMPLOYED,3,549,160
372,58,"$71,600.00",Employed,1,633,88
373,44,"$60,700.00",EMPLOYED,2,573,153
374,42,93200,Employed,2,606,192
375,71,97600.00,Employed,3,646,297
376,26,51900,Unemployed,4,534,69
377,62,"$45,400.00",Employed,4,648,169
378,63,"$120,700.00",unemployed,2,628,344
379,42,40200,Student,4,545,66
380,35,18700,employed,4,431,55
381,21,21200,Unemployed,3,449,5
382,74,29200,Employed,4,515,480
383,75,"$79,300.00",Employed,2,612,480
384,34,"$140,300.00",Employed,4,539,55
385,22,19600,Student,4,538,15
386,27,35400,Retired,3,545,56
387,24,"$51,700.00",Student,3,545,47
388,68,118600.00,EMPLOYED,2,576,395
389,71,"$42,000.00",Employed,1,463,182
390,29,"$66,200.00",Employed,2,649,90
391,63,51900,Retired,3,524,82
392,31,"$165,300.00",,1,683,58
393,41,"$56,900.00",employed,1,582,142
394,55,66100,Unemployed,3,574,290
395,62,60100.00,Retired,2,544,331
396,70,49400,EMPLOYED,4,585,145
397,23,75800,Employed,3,517,25
398,32,30500,Employed,4,554,116
399,36,21200,Employed,3,565,144
400,38,49200,,2,474,68
401,77,88200,Employed,3,619,136
402,65,"$45,100.00",,1,482,90
403,39,57500.00,Employed,1,588,90
404,76,"$35,200.00",,3,546,209
405,49,"$88,800.00",UNEMPLOYED,2,603,140
406,49,73800,Self-Employed,2,507,81
407,45,"$54,700.00",student,2,655,135
408,29,54700,Retired,1,577,21
409,74,"$32,300.00",self-employed,4,448,100
410,21,"$26,700.00",employed,3,441,18
411,30,"$48,200.00",Employed,4,551,99
412,34,65300,EMPLOYED,4,694,40
413,36,67300.00,Self-Employed,3,638,70
414,28,"$42,900.00",SELF-EMPLOYED,1,574,61
415,22,68800.00,Employed,1,561,33
416,59,"$108,400.00",Self-Employed,2,627,196
417,76,58500,Retired,1,515,480
418,27,57800.00,Employed,1,512,22
419,37,47800,EMPLOYED,1,577,128
420,49,,Employed,2,540,183
421,73,"$65,000.00",UNEMPLOYED,3,516,395
422,60,,STUDENT,3,616,119
423,64,88000.00,Retired,1,586,342
424,54,81400,self-employed,2,590,70
425,44,"$44,000.00",UNEMPLOYED,1,567,129
426,32,34300.00,Retired,1,598,64
427,70,71000,Employed,4,567,317
428,66,102800.00,Employed,4,647,332
429,22,106800,UNEMPLOYED,4,689,28
430,61,"$19,100.00",UNEMPLOYED,2,526,231
431,25,149900.00,Employed,2,658,48
432,63,"$70,100.00",Employed,1,619,285
433,68,89100,Student,4,652,271
434,28,"$23,100.00",employed,1,540,46
435,45,"$48,700.00",Retired,1,413,256
436,28,"$73,100.00",Employed,1,506,42
437,53,"$33,000.00",EMPLOYED,2,508,262
438,73,16400.00,EMPLOYED,3,525,430
439,25,58000.00,Employed,3,559,28
440,43,"$52,600.00",Employed,4,557,236
441,76,"$116,500.00",Unemployed,4,650,258
442,38,49000,Employed,3,557,68
443,28,48600.00,Self-Employed,2,615,95
444,48,"$75,000.00",Employed,4,625,201
445,49,"$87,600.00",Employed,1,674,233
446,58,"$41,400.00",UNEMPLOYED,4,436,350
447,38,"$80,500.00",Retired,1,641,84
448,75,48000,Employed,2,532,432
449,50,55700,employed,1,557,124
450,37,70900,Student,2,475,58
451,75,88800,Student,2,547,105
452,73,"$69,500.00",Self-Employed,2,576,228
453,49,33800.00,Employed,2,562,297
454,22,21200,Student,1,534,28
455,55,51800.00,Employed,1,541,319
456,52,86200.00,Unemployed,4,701,94
457,29,"$62,100.00",Employed,1,539,40
458,57,63300,Employed,4,458,174
459,68,59000.00,employed,2,664,349
460,27,57800.00,EMPLOYED,4,521,28
461,62,37000,EMPLOYED,4,547,191
462,28,"$71,700.00",Employed,3,659,79
463,63,85000,Employed,3,657,355
464,44,46000.00,Student,4,731,83
465,21,59600.00,Employed,2,535,12
466,76,"$28,100.00",Employed,1,555,242
467,30,55200,Employed,1,542,51
468,54,52900,Employed,3,587,210
469,31,90100.00,Employed,3,601,83
470,74,55300,Employed,3,530,316
471,63,85900,self-employed,3,653,83
472,66,"$49,200.00",EMPLOYED,2,548,142
473,45,"$19,400.00",,2,444,61
474,47,"$49,300.00",Employed,3,518,68
475,57,62000,Self-Employed,1,589,323
476,65,62600,employed,3,625,233
477,69,64000,Self-Employed,1,541,135
478,22,"$39,200.00",Employed,4,416,37
479,58,49300.00,self-employed,3,521,181
480,27,30300.00,EMPLOYED,3,416,63
481,37,21400,employed,1,414,132
482,68,56400,Self-Employed,4,609,128
483,35,37200,EMPLOYED,4,528,141
484,66,"$95,500.00",Employed,3,575,376
485,47,,EMPLOYED,3,491,216
486,34,59000,Employed,3,491,102
487,40,137900.00,employed,2,576,163
488,51,"$51,100.00",Employed,1,628,215
489,64,"$58,200.00",,1,477,122
490,55,68300,Employed,1,549,207
491,74,75900,Employed,2,565,346
492,70,"$49,600.00",Employed,4,434,465
493,63,"$36,900.00",Self-Employed,4,602,384
494,55,75600,,1,705,203
495,37,22200,Employed,2,478,115
496,44,78500,EMPLOYED,3,611,198
497,27,42100.00,self-employed,4,549,74
498,42,53600,Student,1,659,146
499,73,47600.00,Employed,1,547,133
500,45,103100.00,Employed,2,590,114
501,27,56200.00,Employed,1,496,85
502,58,49300,Employed,1,519,290
503,75,51800,Employed,1,648,383
504,70,55800,Retired,2,535,104
505,36,153600.00,Employed,1,675,51
506,46,30100,Employed,3,409,206
507,51,"$90,300.00",Employed,3,559,214
508,35,"$67,200.00",Employed,4,556,131
509,36,104400,UNEMPLOYED,1,692,34
510,34,68700.00,Retired,4,559,91
511,77,"$61,200.00",Employed,4,660,456
512,63,"$91,900.00",Unemployed,3,611,215
513,68,65600,Student,1,576,432
514,67,"$82,800.00",SELF-EMPLOYED,2,542,94
515,75,"$115,400.00",Employed,4,621,460
516,27,"$52,400.00",Employed,3,456,78
517,71,49400.00,Unemployed,4,542,114
518,24,37100.00,Employed,3,499,35
519,48,67100.00,Employed,1,584,128
520,54,"$37,800.00",Employed,1,489,154
521,41,45500.00,Student,4,595,87
522,29,"$32,800.00",Unemployed,3,537,43
523,31,64300.00,Retired,3,576,29
524,68,"$42,200.00",employed,3,456,104
525,39,"$29,600.00",Retired,3,511,106
526,38,31900,,2,629,150
527,73,46600.00,Retired,4,557,214
528,29,40900,employed,3,615,72
529,73,"$67,500.00",Employed,3,617,260
530,73,56000,unemployed,4,531,327
531,55,66600,Employed,1,592,264
532,30,62400.00,EMPLOYED,3,546,52
533,29,"$70,800.00",Employed,1,673,44
534,37,"$22,200.00",Unemployed,1,490,159
535,53,"$33,700.00",Employed,4,509,179
536,29,65100,Employed,4,416,79
537,46,59800,Unemployed,2,601,153
538,27,"$78,000.00",Employed,1,563,37
539,51,27700.00,Employed,2,486,90
540,22,"$39,700.00",Self-Employed,2,489,23
541,61,"$50,400.00",Employed,4,631,307
542,24,"$53,500.00",Employed,4,583,46
543,32,52200,Employed,4,529,49
544,30,"$62,900.00",Student,1,547,61
545,68,56200,EMPLOYED,1,586,353
546,24,92000.00,Self-Employed,3,592,36
547,45,"$116,000.00",SELF-EMPLOYED,3,526,251
548,54,33900,employed,2,656,262
549,50,56400,Employed,2,512,70
550,59,81900.00,EMPLOYED,4,504,305
551,66,76400.00,EMPLOYED,3,654,257
552,43,44700,STUDENT,2,544,193
553,68,66400.00,UNEMPLOYED,1,619,99
554,39,25900.00,STUDENT,4,484,165
555,77,60600,Student,4,714,216
556,49,28500.00,employed,3,487,76
557,62,"$72,700.00",retired,3,593,125
558,70,36100,Employed,3,559,480
559,66,"$63,200.00",Employed,4,734,251
560,69,"$68,500.00",Employed,2,521,303
561,51,57400,Employed,2,525,175
562,23,"$37,200.00",STUDENT,1,626,18
563,49,50100.00,Retired,3,523,256
564,31,87000,Retired,3,556,103
565,71,,Employed,3,633,174
566,34,"$52,300.00",,1,590,92
567,33,40100,EMPLOYED,2,515,49
568,35,82300,Retired,3,559,63
569,57,,Employed,4,415,149
570,53,"$39,600.00",self-employed,2,577,154
571,75,"$60,900.00",Employed,2,526,480
572,44,"$48,400.00",Employed,1,478,146
573,37,98100,,1,544,73
574,23,48400.00,Student,1,472,44
575,21,26300,retired,4,457,14
576,42,"$67,000.00",Employed,2,588,60
577,73,"$134,600.00",EMPLOYED,3,617,336
578,50,94700,Retired,1,653,197
579,71,36400,Retired,2,538,266
580,26,44400,Employed,3,698,41
581,26,"$49,400.00",Retired,1,508,58
582,68,58700.00,Employed,4,581,314
583,27,59700,Employed,1,482,51
584,23,"$42,300.00",Retired,3,457,19
585,44,35700.00,STUDENT,4,567,245
586,73,92500.00,Employed,4,654,351
587,60,34600.00,Self-Employed,3,398,388
588,26,34900.00,Employed,2,526,44
589,68,35600,Employed,4,568,134
590,69,78200,Student,2,713,147
591,66,61600,Student,2,544,327
592,72,89300.00,Employed,1,629,201
593,34,"$36,400.00",SELF-EMPLOYED,2,573,62
594,76,34600.00,Employed,1,488,333
595,39,43300.00,Employed,1,554,99
596,66,54100.00,Retired,4,540,260
597,54,61700,Employed,4,533,118
598,65,,Employed,4,513,193
599,56,,student,3,559,160
600,57,,Employed,4,618,184
601,56,"$42,300.00",Employed,2,553,141
602,65,99200,Employed,3,656,228
603,63,21700,Employed,3,554,282
604,28,58400,RETIRED,4,526,40
605,68,68300,Employed,4,513,319
606,51,"$38,400.00",EMPLOYED,2,599,107
607,39,"$43,200.00",Retired,4,506,173
608,50,95700.00,EMPLOYED,1,580,75
609,76,"$147,300.00",employed,2,582,287
610,69,,Retired,3,615,269
611,68,138200.00,Student,2,718,441
612,47,"$40,000.00",student,2,570,246
613,65,"$28,700.00",self-employed,4,434,168
614,42,"$52,300.00",EMPLOYED,1,638,63
615,60,"$82,500.00",unemployed,4,588,359
616,57,"$24,600.00",Employed,2,534,348
617,35,34300,Retired,1,544,157
618,36,36200,Unemployed,1,562,88
619,24,58300,Student,1,657,43
620,28,"$55,900.00",Employed,2,598,84
621,45,"$38,200.00",STUDENT,4,516,238
622,48,59400,Employed,1,596,112
623,30,30400,Employed,4,536,72
624,44,"$44,500.00",Retired,4,576,214
625,55,31900,Student,1,543,70
626,34,"$48,400.00",Employed,4,547,146
627,40,"$37,000.00",Employed,1,527,181
628,41,72700.00,student,4,606,108
629,49,54400,UNEMPLOYED,4,655,124
630,41,"$48,100.00",,3,511,102
631,63,128700,Unemployed,3,676,250
632,39,62800,EMPLOYED,1,451,142
633,45,45900.00,Employed,2,524,230
634,42,"$41,200.00",Employed,3,517,215
635,31,30100,Employed,2,433,118
636,60,55700,Self-Employed,2,535,393
637,34,"$59,500.00",EMPLOYED,4,638,147
638,37,"$22,200.00",employed,3,436,48
639,66,"$31,800.00",Retired,2,618,291
640,75,"$48,100.00",Unemployed,4,604,480
641,59,34900,EMPLOYED,4,496,254
642,73,"$61,400.00",Self-Employed,4,619,177
643,69,64400,,1,602,172
644,48,"$51,900.00",Self-Employed,1,648,171
645,64,"$74,700.00",Employed,4,534,207
646,39,"$40,600.00",retired,3,591,45
647,47,,,1,609,148
648,51,"$35,300.00",EMPLOYED,4,590,175
649,75,"$69,000.00",Student,3,592,410
650,69,"$61,400.00",employed,1,561,457
651,48,"$32,000.00",Student,2,577,83
652,58,53200,Employed,3,464,306
653,32,50500.00,EMPLOYED,1,625,124
654,66,66600.00,self-employed,3,541,164
655,52,"$64,300.00",Employed,1,571,168
656,51,"$40,100.00",Retired,1,558,150
657,64,"$82,200.00",Employed,3,586,206
658,57,71800.00,Employed,4,620,333
659,25,36000,Employed,3,560,16
660,37,31400.00,Employed,3,529,72
661,31,38200,Employed,3,506,66
662,62,29800,,4,493,403
663,23,54300,Employed,2,572,14
664,32,"$87,500.00",EMPLOYED,2,476,57
665,55,106800,Retired,2,749,261
666,60,35200.00,Self-Employed,4,571,308
667,49,78400,EMPLOYED,1,550,258
668,70,61900,Self-Employed,2,562,208
669,73,"$20,500.00",Employed,1,474,369
670,28,"$43,500.00",EMPLOYED,3,669,52
671,75,49700,EMPLOYED,1,491,480
672,56,97500,employed,4,553,300
673,57,"$38,400.00",RETIRED,2,534,157
674,26,"$64,500.00",Self-Employed,4,588,53
675,56,"$53,900.00",Employed,2,574,345
676,62,30200,employed,1,557,396
677,54,"$43,800.00",Employed,2,559,305
678,25,"$99,300.00",Self-Employed,1,592,22
679,50,"$51,100.00",Retired,4,605,169
680,74,"$90,900.00",Employed,4,536,233
681,62,84900,Employed,3,647,81
682,28,41300,Student,2,415,65
683,75,34100,Retired,4,632,450
684,75,36100,Employed,1,496,301
685,30,97900.00,Employed,3,651,107
686,66,62900,UNEMPLOYED,2,510,283
687,44,24700,Retired,4,493,208
688,54,"$81,700.00",Employed,2,525,70
689,46,"$24,300.00",Employed,4,453,153
690,65,,employed,4,481,187
691,77,63400,Employed,3,584,305
692,66,182600,Employed,1,770,394
693,74,"$87,300.00",Employed,3,613,202
694,74,48700.00,Employed,3,541,459
